x,y,number
-37.471,-1.917,5
21.136,-25.901,8
-14.732,37.097,1
29.343,18.171,3
-3.837,-22.927,7
44.592,12.13,4
47.8,-19.796,9
-12.964,41.675,1
12.609,-6.022,7
-0.721,39.412,2
-47.274,33.752,0
53.104,-23.174,9
15.468,-26.682,7
49.931,13.775,4
-54.816,-9.86,5
45.628,21.052,4
11.815,27.563,3
-44.995,-32.511,5
-2.463,-21.358,7
27.533,29.964,3
5.229,43.177,2
49.017,13.072,4
45.041,-29.554,9
46.861,32.203,4
-21.287,-28.14,6
-4.948,39.356,2
-18.071,-29.433,6
-18.873,37.087,1
54.283,13.208,4
-39.994,-10.404,5
17.688,-36.809,8
-15.906,-31.327,6
51.216,-15.999,9
-21.836,33.413,1
4.917,41.584,2
-44.339,-10.707,5
8.092,-22.061,7
32.29,25.523,3
-41.272,23.222,0
-18.522,-27.381,6
-24.231,36.929,1
-44.891,-13.04,5
-21.605,37.88,1
0.079,42.704,2
-13.188,-27.315,6
-42.731,29.995,0
37.77,11.72,4
67.301,-21.141,9
52.812,28.222,4
57.083,-20.786,9
4.299,-26.099,7
45.801,-15.718,9
-10.111,37.685,1
33.833,-30.97,8
-0.972,40.607,2
43.396,18.46,4
29.213,-27.074,8
-44.184,-4.694,5
-38.179,-17.112,5
-11.611,40.87,1
52.602,19.656,4
8.859,-21.272,7
-44.555,-13.608,5
-2.572,35.875,2
32.803,-36.01,8
-41.153,-29.658,6
27.194,30.249,3
-19.643,-26.645,6
-19.734,39.06,1
-18.533,29.473,1
-23.765,37.928,1
34.863,-38.813,8
-28.344,48.354,1
-51.703,-25.322,5
-64.914,21.918,0
0.843,-17.885,7
69.445,-6.53,9
-42.342,35.665,0
8.624,-18.879,7
27.499,32.676,3
9.077,-17.799,7
-1.13,39.563,2
2.063,43.48,2
-34.439,23.975,0
17.123,-31.449,8
31.667,29.846,3
-48.546,36.694,0
45.92,-20.11,9
-46.801,29.645,0
55.398,-20.803,9
54.388,27.194,4
-42.502,-13.666,5
-44.883,31.471,0
-49.071,-19.138,5
-34.132,35.136,1
50.161,21.066,4
49.049,-18.293,9
-19.951,40.848,1
-25.69,36.265,1
-43.991,-29.729,5
10.198,-17.523,7
-51.894,25.311,0
2.944,30.17,2
-42.827,-28.976,5
-46.141,33.199,0
42.639,25.255,4
24.862,27.677,3
-47.828,-14.037,5
30.324,41.101,3
48.703,-11.297,9
47.547,16.466,4
48.149,15.271,4
5.381,-16.986,7
-4.06,-20.104,7
24.422,33.552,3
29.898,25.814,3
-50.638,40.169,0
2.5,37.664,2
3.324,36.331,2
-27.356,-32.156,6
35.82,34.707,3
38.705,-37.125,8
-14.535,-27.944,6
-11.662,-34.406,6
48.593,22.164,4
-8.974,42.426,2
28.686,24.173,3
21.417,-42.345,8
-30.097,38.879,0
30.103,-40.761,8
32.303,28.637,3
-22.996,-25.138,6
-8.99,42.129,2
-23.194,-31.433,6
8.96,-24.237,7
32.777,-26.408,8
-39.851,33.678,0
-13.446,-23.919,6
-23.84,38.274,1
55.401,-23.958,9
52.97,-13.909,9
-39.569,36.717,0
41.381,-30.008,8
2.664,34.392,2
22.828,30.969,3
-23.806,-29.709,6
59.41,16.944,4
-36.669,37.07,0
20.162,-33.31,8
2.858,37.87,2
28.598,29.021,3
-12.985,-24.152,6
-7.205,16.854,1
-43.753,-5.704,5
45.835,-9.923,9
-43.613,28.921,0
-40.695,31.39,0
42.99,-34.856,8
-3.871,41.252,2
25.758,28.363,3
31.221,-37.963,8
26.986,-24.101,8
-11.334,49.728,1
24.068,34.417,3
-44.047,37.856,0
50.816,-10.868,9
-14.914,37.824,1
-15.272,-31.657,6
-10.466,54.427,2
37.072,20.881,4
18.969,28.42,3
30.79,-29.482,8
-0.047,-8.777,7
9.918,-20.192,7
-18.696,-27.1,6
-29.182,55.393,1
44.278,-29.255,9
-43.969,1.54,5
-7.82,-41.713,6
-20.02,-23.196,6
24.665,35.769,3
-41.064,-4.245,5
6.287,18.506,2
9.452,-18.204,7
10.564,1.358,7
5.934,-35.484,7
44.231,-20.715,9
-46.618,-22.193,5
49.195,19.186,4
-41.043,38.961,0
51.981,23.083,4
-9.419,26.365,2
34.752,-22.018,8
52.474,-16.575,9
-42.778,-12.683,5
33.86,-41.943,8
35.576,-28.431,8
11.48,-13.673,7
42.975,-19.743,9
-1.298,-9.676,6
